Arpabet,GeneralAmerican,Accent1,Accent2,KTSwitch,GhotiOrthography,GhotiWords,WKJOrthography
AA,ɑ,a,a,ɑ,oa,oa-as-in-broad;,á
AE,æ,ɛ,e,æ,a,a-as-in-bat;,a
AH,ʌ,ø,a,ʌ,u,u-as-in-fun;,o
AO,ɔ,o,o,ɔ,au,au-as-in-maul;,á
AW,aʊ,øy,au,aʊ,ao,ao-as-in-Tao;,aw
AY,aɪ,eɪ,ai,aɪ,y,y-as-in-sky;,ay
EH,ɛ,ɛ,e,ɛ,ea,ea-as-in-bread;,e
ER,ɝ,øɾ,a,ɝ,our,our-as-in-journal;,or
EY,eɪ,e,i,eɪ,eigh,eigh-as-in-neigh;,ey
IH,ɪ,y,i,ɪ,o,o-as-in-women;,i
IY,i,i,i,i,oe,oe-as-in-coelum;,í
OW,oʊ,o,u,oʊ,eau,eau-as-in-bureau;,ow
OY,ɔɪ,uɪ,ui,ɔɪ,eu,eu-as-in-Euler;,oy
UH,ʊ,u,u,ʊ,oo,oo-as-in-book;,u
UW,u,y,u,u,ew,ew-as-in-new;,ú
B,b,b,b,b,b,b-as-in-bed;,b
CH,tʃ,ʃ,ʃ,tʃ,t,t-as-in-overture;,č
D,d,d,d,g,d,d-as-in-dodo;,d
DH,ð,z,l,ɣ,th,th-as-in-the;,c
F,f,f,f,f,gh,gh-as-in-tough;,f
G,ɡ,g,g,d,g,g-as-in-girl;,g
HH,h,0,0,h,ch,ch-as-in-chutzpah;,h
JH,dʒ,ʒ,ʒ,dʒ,ge,ge-as-in-barge;,j
K,k,k,k,t,qu,qu-as-in-quinoa;,k
L,l,l,l,l,l,l-as-in-lamp;,l
M,m,m,m,m,mb,mb-as-in-lamb;,m
N,n,n,n,ŋ,n,n-as-in-nail;,n
NG,ŋ,ŋ,ŋ,n,ng,ng-as-in-sing;,ň
P,p,p,p,p,ph,ph-as-in-shepherd;,p
R,ɹ,ɾ,ɾ,ɹ,wr,wr-as-in-write;,r
S,s,s,s,s,sw,sw-as-in-sword;,s
SH,ʃ,ʃ,ʃ,ʃ,ti,ti-as-in-motion;,š
T,t,t,t,k,phth,phth-as-in-phthalate;,t
TH,θ,s,s,x,th,th-as-in-throw;,ç
V,v,v,v,v,w,w-as-in-Wittgenstein;,v
W,w,v,v,w,ou,ou-as-in-ouija;,w
Y,j,j,j,j,ll,ll-as-in-tortilla;,y
Z,z,z,z,z,ts,ts-as-in-tsar;,z
ZH,ʒ,ʒ,ʒ,ʒ,s,s-as-in-measure;,ž
0,,,,,,,
1,́,́,́,́,,,
2,̀,̀,̀,̀,,,
