	Afroasiatic	Ainu	Amharic	Austroasiatic	Austronesian	Basque	Celtic	Dravidian	Finnic	Germanic	Indo-European	Kartvelian	Kusunda	Malagasy	Mapudungun	Munda	Naduhup	North Germanic	Oto-Manguean	Panoan	Polynesian	Rma	Romance	Sami	Semitic	Sinitic	Slavic	Trans-Himalayan	Turkic	Uralic
Afghanistan	d	d						d			x							 	d						d			d		
Albania											x												d				d		d	d
Argentina															d		d			d										
Armenia	d										x														d		d			d
Australia				d	d			d				d		d	d	d					d									
Austria										x	x							d												
Azerbaijan	d		d								x														d				x	
Bhutan		d		d																						d		x		
Bolivia		d													d	d				x										
Brazil								d								d	x		d	x		d								
Chile					d								d		x		d		d	d			d							
China				x	d						x		d		d					d		x				x		x	x	d
Colombia																	x													
Czechia											x												d				x			
Estonia									x	d	d							d						d						x
Ethiopia	x	d	x										d		d										x					
Finland									x	x	x					d								x					d	x
France						x	x			x	x												x							
Georgia		d				d				d	x	x															d			d
Germany									d	x	x												d	d			x			
Greece										d	x	d													d					
Hungary								d	d		d																d		d	x
Iceland							d			x	x							x						d						d
India	d			x	d			x			x			d	d	x	d		d			d			d	d		x		
Indonesia					x			d			d			d			d				d					d		d		
Iran	x										x									d					x				x	
Ireland							x			x	x												d							
Italy							d			x	x												x							
Japan		x		d	d																					d		d	d	
Kyrgyzstan												d																	x	
Madagascar	d				x			d						x	d						d							d		
Malaysia				x	x			d												d	d									
Mexico																	d		x			d								
Mongolia																d											d	d		d
Myanmar		d		x	d			d				d					d									d		x		
Nepal											x		x															x		
New Zealand					x																									
Norway									x	x	x		d					x						x						x
Pakistan		d		d		d		x			x														d					
Panama																														
Peru												d							d	x		d								
Philippines		d			x									d			d				d							d		
Poland									d	x	x							d					d				x			
Portugal						d					x												x				d			
Russia		x							x	d	x				d			d					d	x			x		x	x
Samoa					x																x									
Saudi Arabia	x		d										d												x				d	
Slovakia											x												d				x			
South Korea																d				d						d		d		
Spain	d					x	d			d	x					d							x		d					
Sri Lanka			d		d			x			x			d			d													
Sweden									x	x	x							x						x			d			x
Taiwan				d	x			d																				x		
Thailand				x	d			d			d				d											d		x		
Tonga					x								d								x									
Turkey	x		d								x	x				d	d						d		x				x	d
Ukraine										d	x	d						d									x			d
United Kingdom							x			x	x												d							
United States		d			x									d					d		x									
Vietnam				x	d			d					d	d						d						d		d		
